*;base;akk;aakk;gen;genour;aprepin
AlchemistLab.name;Алхимични лаборатории;Алхимичните лаборатории;Алхимични лаборатории;на Алхимичните лаборатории;на нашите Алхимични лаборатории;в Алхимични лаборатории
Brothels.name;Бордеи;Бордеите;Бордеи;на Бордеите;на нашите Бордеи;в Бордеи
EnclosedGardens.name;Частни градини;Частните градини;Частни градини;на Частните градини;на нашите Частни градини;в Частни градини
OilPress.name;Маслобойни;Маслобойните;Маслобойни;на Маслобойните;на нашите Маслобойни;в Маслобойни
FlaxWeaver.name;Тъкачници за лен;Тъкачниците за лен;Тъкачници за лен;на Тъкачниците за лен;на нашите Тъкачници за лен;в Тъкачници за лен
CanvasMaker.name;Тъкачници за плат;Тъкачниците за плат;Тъкачници за плат;на Тъкачниците за плат;на нашите Тъкачници за плат;в Тъкачници за плат
Ropewalk.name;Въжарници;Въжарниците;Въжарници;на Въжарниците;на нашите Въжарници;в Въжарници
HerbalistShacks.name;Билкови колиби;Билковите колиби;Билкови колиби;на Билковите колиби;на нашите Билкови колиби;в Билкови колиби
Apiary.name;Пчелини;Пчелините;Пчелини;на Пчелините;на нашите Пчелини;в Пчелини
SpiceShop.name;Магазини за подправки;Магазините за подправки;Магазини за подправки;на Магазините за подправки;на нашите Магазини за подправки;в Магазини за подправки
CandleMaker.name;Свещарници;Свещарниците;Свещарници;на Свещарниците;на нашите Свещарници;в Свещарници
DyeWorkshop.name;Бояджийници;Бояджийниците;Бояджийници;на Бояджийниците;на нашите Бояджийници;в Бояджийници
SunDryingGrapes.name;Сушене на грозде;Сушенето на грозде;Сушене на грозде;на Сушенето на грозде;на нашето Сушене на грозде;в Сушене на грозде
GrapePress.name;Преси за грозде;Пресите за грозде;Преси за грозде;на Пресите за грозде;на нашите Преси за грозде;в Преси за грозде
Winery.name;Винарни;Винарните;Винарни;на Винарните;на нашите Винарни;в Винарни
Distillery.name;Дестилерии;Дестилериите;Дестилерии;на Дестилериите;на нашите Дестилерии;в Дестилерии
SpinningMill.name;Предачници;Предачниците;Предачници;на Предачниците;на нашите Предачници;в Предачници
WoolWeaver.name;Тъкачници за вълна;Тъкачниците за вълна;Тъкачници за вълна;на Тъкачниците за вълна;на нашите Тъкачници за вълна;в Тъкачници за вълна
ParchmentMaker.name;Работилници за пергамент;Работилниците за пергамент;Работилници за пергамент;на Работилниците за пергамент;на нашите Работилници за пергамент;в Работилници за пергамент
CattleMarket.name;Пазари за добитък;Пазарите за добитък;Пазари за добитък;на Пазарите за добитък;на нашите Пазари за добитък;в Пазари за добитък
DairyShop.name;Млекарници;Млекарниците;Млекарници;на Млекарниците;на нашите Млекарници;в Млекарници
SausageMaker.name;Колбасарници;Колбасарниците;Колбасарници;на Колбасарниците;на нашите Колбасарници;в Колбасарници
HorseMarket.name;Пазари за коне;Пазарите за коне;Пазари за коне;на Пазарите за коне;на нашите Пазари за коне;в Пазари за коне
Farrier.name;Подковачи;Подковачите;Подковачи;на Подковачите;на нашите Подковачи;в Подковачи
SaddlersShop.name;Седларници;Седларниците;Седларници;на Седларниците;на нашите Седларници;в Седларници
WarhorseBreed.name;Развъждане на бойни коне;Развъждането на бойни коне;Развъждане на бойни коне;на Развъждането на бойни коне;на нашето Развъждане на бойни коне;в Развъждане на бойни коне
Sawmill.name;Дъскорезници;Дъскорезниците;Дъскорезници;на Дъскорезниците;на нашите Дъскорезници;в Дъскорезници
TarPit.name;Ями за катран;Ямите за катран;Ями за катран;на Ямите за катран;на нашите Ями за катран;в Ями за катран
ColliersKiln.name;Пещи;Пещите;Пещи;на Пещите;на нашите Пещи;в Пещи
CoopersShop.name;Бъчварници;Бъчварниците;Бъчварници;на Бъчварниците;на нашите Бъчварници;в Бъчварници
Glassworks.name;Стъкларници;Стъкларниците;Стъкларници;на Стъкларниците;на нашите Стъкларници;в Стъкларници
MasterJoiner.name;Майстори дърводелци;Майсторите дърводелци;Майстори дърводелци;на Майсторите дърводелци;на нашите Майстори дърводелци;в Майстори дърводелци
FishMarket.name;Рибни пазари;Рибните пазари;Рибни пазари;на Рибните пазари;на нашите Рибни пазари;в Рибни пазари
FilthyTavern.name;Кръчми;Кръчмите;Кръчми;на Кръчмите;на нашите Кръчми;в Кръчми
HostagesTower.name;Затворнически кули;Затворническите кули;Затворнически кули;на Затворническите кули;на нашите Затворнически кули;в Затворнически кули
SlaveMarket.name;Пазари за роби;Пазарите за роби;Пазари за роби;на Пазарите за роби;на нашите Пазари за роби;в Пазари за роби
Cartographer.name;Картографи;Картографите;Картографи;на Картографите;на нашите Картографи;в Картографи
CoastalGuards.name;Брегова охрана;Бреговата охрана;Брегова охрана;на Бреговата охрана;на нашата Брегова охрана;в Брегова охрана
WoodenCrane.name;Дървени кранове;Дървените кранове;Дървени кранове;на Дървените кранове;на нашите Дървени кранове;в Дървени кранове
SailMaker.name;Работилници за платна;Работилниците за платна;Работилници за платна;на Работилниците за платна;на нашите Работилници за платна;в Работилници за платна
ShipJoiner.name;Корабни дърводелци;Корабните дърводелци;Корабни дърводелци;на Корабните дърводелци;на нашите Корабни дърводелци;в Корабни дърводелци
TradeCompanies.name;Търговски дружества;Търговските дружества;Търговски дружества;на Търговските дружества;на нашите Търговски дружества;в Търговски дружества
Expeditions.name;Експедиции;Експедициите;Експедиции;на Експедициите;на нашите Експедиции;в Експедиции
TradeColonies.name;Търговски колонии;Търговските колонии;Търговски колонии;на Търговските колонии;на нашите Търговски колонии;в Търговски колонии
MountainHamlet.name;Планински селца;Планинските селца;Планински селца;на Планинските селца;на нашите Планински селца;в Планински селца
MountainPassGuard.name;Планински пазачи;Планинските пазачи;Планински пазачи;на Планинските пазачи;на нашите Планински пазачи;в Планински пазачи
TownGuardsQuarters.name;Квартири на градската стража;Квартирите на градската стража;Квартири на градската стража;на Квартирите на градската стража;на нашите Квартири на градската стража;в Квартири на градската стража
Swordsmith.name;Оръжейни за мечове;Оръжейните за мечове;Оръжейни за мечове;на Оръжейните за мечове;на нашите Оръжейни за мечове;в Оръжейни за мечове
Spearmaker.name;Работилници за копия;Работилниците за копия;Работилници за копия;на Работилниците за копия;на нашите Работилници за копия;в Работилници за копия
SiegeWorkshop.name;Обсадни работилници;Обсадните работилници;Обсадни работилници;на Обсадните работилници;на нашите Обсадни работилници;в Обсадни работилници
Stables.name;Конюшни;Конюшните;Конюшни;на Конюшните;на нашите Конюшни;в Конюшни
MasterWeaponsmith.name;Майстори оръжейници;Майсторите оръжейници;Майстори оръжейници;на Майсторите оръжейници;на нашите Майстори оръжейници;в Майстори оръжейници
HeavyArmorsmith.name;Ковачници за тежка броня;Ковачниците за тежка броня;Ковачници за тежка броня;на Ковачниците за тежка броня;на нашите Ковачници за тежка броня;в Ковачници за тежка броня
MasterArmorer.name;Майстори брониари;Майсторите брониари;Майстори брониари;на Майсторите брониари;на нашите Майстори брониари;в Майстори брониари
WarStables.name;Военни конюшни;Военните конюшни;Военни конюшни;на Военните конюшни;на нашите Военни конюшни;в Военни конюшни
Fiefs.name;Феодални владения;Феодалните владения;Феодални владения;на Феодалните владения;на нашите Феодални владения;в Феодални владения
CastleGuards.name;Дворцова стража;Дворцовата стража;Дворцова стража;на Дворцовата стража;на нашата Дворцова стража;в Дворцова стража
LargeKeeps.name;Големи крепости;Големите крепости;Големи крепости;на Големите крепости;на нашите Големи крепости;в Големи крепости
QueensChambers.name;Покоите на кралицата;Покоите на кралицата;Покоите на кралицата;на Покоите на кралицата;на нашите Покоите на кралицата;в Покоите на кралицата
Harem.name;Хареми;Харемите;Хареми;на Харемите;на нашите Хареми;в Хареми
RoyalGuardQuarters.name;Квартири на кралската гвардия;Квартирите на кралската гвардия;Квартири на кралската гвардия;на Квартирите на кралската гвардия;на нашите Квартири на кралската гвардия;в Квартири на кралската гвардия
GreatHall.name;Голяма зала;Голямата зала;Голяма зала;на Голямата зала;на нашата Голяма зала;в Голяма зала
SeatOfPower.name;Седалища на властта;Седалищата на властта;Седалища на властта;на Седалищата на властта;на нашите Седалища на властта;в Седалища на властта
ScribesOffice.name;Писарни;Писарните;Писарни;на Писарните;на нашите Писарни;в Писарни
Inns.name;Ханове;Хановете;Ханове;на Хановете;на нашите Ханове;в Ханове
TaxCollector.name;Събирачи на данъци;Събирачите на данъци;Събирачи на данъци;на Събирачите на данъци;на нашите Събирачи на данъци;в Събирачи на данъци
Courthouse.name;Съдилища;Съдилищата;Съдилища;на Съдилищата;на нашите Съдилища;в Съдилища
TrainingGrounds.name;Тренировъчен плац;Тренировъчния плац;Тренировъчен плац;на Тренировъчния плац;на нашия Тренировъчен плац;в Тренировъчен плац
TownWatch.name;Градски стражи;Градските стражи;Градски стражи;на Градските стражи;на нашите Градски стражи;в Градски стражи
AnglersHuts.name;Рибарски колиби;Рибарските колиби;Рибарски колиби;на Рибарските колиби;на нашите Рибарски колиби;в Рибарски колиби
Boatwright.name;Лодкостроители;Лодкостроителите;Лодкостроители;на Лодкостроителите;на нашите Лодкостроители;в Лодкостроители
ShoemakersShop.name;Обущари;Обущарите;Обущари;на Обущарите;на нашите Обущари;в Обущари
JewellersShop.name;Бижутери;Бижутерите;Бижутери;на Бижутерите;на нашите Бижутери;в Бижутери
TailorsShop.name;Шивачи;Шивачите;Шивачи;на Шивачите;на нашите Шивачи;в Шивачи
RugsWeaver.name;Килимари;Килимарите;Килимари;на Килимарите;на нашите Килимари;в Килимари
TownsCharter.name;Градски харти;Градските харти;Градски харти;на Градските харти;на нашите Градски харти;в Градски харти
Muhtasib.name;Мухтасиби;Мухтасибите;Мухтасиби;на Мухтасибите;на нашите Мухтасиби;в Мухтасиби
TradeFair.name;Панаири;Панаирите;Панаири;на Панаирите;на нашите Панаири;в Панаири
Caravanserai.name;Кервансараи;Кервансараите;Кервансараи;на Кервансараите;на нашите Кервансараи;в Кервансараи
Bazaar.name;Базари;Базарите;Базари;на Базарите;на нашите Базари;в Базари
MerchantBank.name;Търговски банки;Търговските банки;Търговски банки;на Търговските банки;на нашите Търговски банки;в Търговски банки
ChristianCeremonies.name;Церемонии;Церемониите;Церемонии;на Церемониите;на нашите Церемонии;в Церемонии
MuslimCeremonies.name;Церемонии;Церемониите;Церемонии;на Церемониите;на нашите Церемонии;в Церемонии
PaganCeremonies.name;Ритуали;Ритуалите;Ритуали;на Ритуалите;на нашите Ритуали;в Ритуали
ChristianDecoration.name;Декорации;Декорациите;Декорации;на Декорациите;на нашите Декорации;в Декорации
MuslimDecoration.name;Декорации;Декорациите;Декорации;на Декорациите;на нашите Декорации;в Декорации
CropsRotation.name;Сеитбооборот;Сеитбооборота;Сеитбооборот;на Сеитбооборота;на нашия Сеитбооборот;в Сеитбооборот
ManurePits.name;Торища;Торищата;Торища;на Торищата;на нашите Торища;в Торища
HeavyPloughsWorkshop.name;Тежки плугове;Тежките плугове;Тежки плугове;на Тежките плугове;на нашите Тежки плугове;в Тежки плугове
Granary.name;Зърнохранилища;Зърнохранилищата;Зърнохранилища;на Зърнохранилищата;на нашите Зърнохранилища;в Зърнохранилища
DryingOvens.name;Сушилни;Сушилните;Сушилни;на Сушилните;на нашите Сушилни;в Сушилни
GrainTrade.name;Търговия със зърно;Търговията със зърно;Търговия със зърно;на Търговията със зърно;на нашата Търговия със зърно;в Търговия със зърно
Tavern.name;Таверни;Таверните;Таверни;на Таверните;на нашите Таверни;в Таверни
Bakery.name;Пекарни;Пекарните;Пекарни;на Пекарните;на нашите Пекарни;в Пекарни
Alehouse.name;Пивоварни;Пивоварните;Пивоварни;на Пивоварните;на нашите Пивоварни;в Пивоварни
StoneCutters.name;Каменоделци;Каменоделците;Каменоделци;на Каменоделците;на нашите Каменоделци;в Каменоделци
SculpturesShop.name;Скулптурни ателиета;Скулптурните ателиета;Скулптурни ателиета;на Скулптурните ателиета;на нашите Скулптурни ателиета;в Скулптурни ателиета
MasonsGuild.name;Зидарска гилдия;Зидарската гилдия;Зидарска гилдия;на Зидарската гилдия;на нашата Зидарска гилдия;в Зидарска гилдия
BlastFurnace.name;Високи пещи;Високите пещи;Високи пещи;на Високите пещи;на нашите Високи пещи;в Високи пещи
